epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5811,1.15914,5.67577,1.00007,0,0,0,0,1.053,7.16062,0.96655,0.000333333,0.000333333,0.000333333
2,38.4922,1.16586,4.61379,0.94669,0.00019,0.11111,8e-05,7e-05,1.00625,6.62745,0.91114,0.0007203,0.0007203,0.0007203
3,57.0943,1.23198,5.33649,0.99829,0,0,0,0,1.03213,6.65758,0.92048,0.00107427,0.00107427,0.00107427
4,75.3988,1.47072,5.24997,1.19397,0,0,0,0,1.12613,8.46632,0.92315,0.0011015,0.0011015,0.0011015
5,93.6604,1.40232,4.56306,1.01315,0.00018,0.11111,0.00015,0.00013,1.05359,9.23828,0.91552,0.001052,0.001052,0.001052
6,112.488,1.13203,3.87079,0.96522,0.00021,0.11111,0.00019,0.00015,1.14919,7.61211,0.93903,0.0010025,0.0010025,0.0010025
7,131.094,1.20431,3.61332,0.97163,0,0,0,0,1.31355,16.945,1.07023,0.000953,0.000953,0.000953
8,150.446,1.09726,3.6789,0.9863,0,0,0,0,1.15979,35.7939,1.02372,0.0009035,0.0009035,0.0009035
9,174.491,1.10248,2.97227,0.93416,0.00074,0.22222,0.00051,0.00042,1.20476,63.2049,1.03374,0.000854,0.000854,0.000854
10,198.855,1.08931,3.08617,0.96705,0.00091,0.22222,0.00165,0.0014,1.03157,14.1223,0.8731,0.0008045,0.0008045,0.0008045
